"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.20.2","224.0.0.5","OSPF","90","Hello Packet"
"2","9.968640","10.0.20.2","224.0.0.5","OSPF","90","Hello Packet"
"3","19.993215","10.0.20.2","224.0.0.5","OSPF","90","Hello Packet"
"4","22.935969","10.0.20.1","224.0.0.5","OSPF","90","Hello Packet"
"5","29.981842","10.0.20.2","224.0.0.5","OSPF","94","Hello Packet"
"6","32.930069","10.0.20.1","224.0.0.5","OSPF","94","Hello Packet"
"7","32.934033","10.0.20.2","10.0.20.1","OSPF","78","DB Description"
"8","32.938125","10.0.20.1","10.0.20.2","OSPF","298","DB Description"
"9","32.942045","10.0.20.2","10.0.20.1","OSPF","98","DB Description"
"10","32.946075","10.0.20.1","10.0.20.2","OSPF","78","DB Description"
"11","32.950034","10.0.20.2","10.0.20.1","OSPF","190","LS Request"
"12","32.954068","10.0.20.1","10.0.20.2","OSPF","434","LS Update"
"13","32.958044","10.0.20.2","10.0.20.1","OSPF","78","DB Description"
"14","32.962080","10.0.20.1","10.0.20.2","OSPF","78","DB Description"
"15","32.966036","10.0.20.2","224.0.0.5","OSPF","110","LS Update"
"16","33.014028","10.0.20.2","224.0.0.5","OSPF","94","LS Update"
"17","33.506096","10.0.20.1","224.0.0.5","OSPF","98","LS Update"
"18","35.462172","10.0.20.2","224.0.0.5","OSPF","278","LS Acknowledge"
"19","35.474214","10.0.20.1","224.0.0.5","OSPF","98","LS Acknowledge"
"20","37.958332","10.0.20.2","224.0.0.5","OSPF","110","LS Update"
"21","38.006331","10.0.20.2","224.0.0.5","OSPF","94","LS Update"
"22","38.394379","10.0.20.1","10.0.20.2","OSPF","98","LS Update"
"23","39.980898","10.0.20.2","224.0.0.5","OSPF","94","Hello Packet"
"24","40.466540","10.0.20.1","224.0.0.5","OSPF","98","LS Acknowledge"
"25","40.898521","10.0.20.2","224.0.0.5","OSPF","78","LS Acknowledge"
"26","42.898697","10.0.20.1","224.0.0.5","OSPF","94","Hello Packet"
"27","49.979064","10.0.20.2","224.0.0.5","OSPF","94","Hello Packet"
"28","52.917675","10.0.20.1","224.0.0.5","OSPF","94","Hello Packet"
"29","60.003656","10.0.20.2","224.0.0.5","OSPF","94","Hello Packet"
"30","62.918273","10.0.20.1","224.0.0.5","OSPF","94","Hello Packet"
