"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","","","Inverse ARP","34","Who is 3091? Tell 0000"
"2","2.380124","","","Inverse ARP","34","Who is 48d1? Tell 0000"
"3","4.844281","","","Inverse ARP","34","Who is 6411? Tell 0000"
"4","7.136388","","","Q.933","14","STATUS ENQUIRY"
"5","7.136456","","","Q.933","13","STATUS ENQUIRY"
"6","7.136549","","","Q.933","29","STATUS"
"7","7.144371","","","LMI","13","Status Enquiry"
"8","7.232381","","","Inverse ARP","34","Who is 1861? Tell 0000"
"9","7.232413","","","Inverse ARP","34","Who is 1871? Tell 0000"
"10","7.240404","","","Inverse ARP","34","Who is 1881? Tell 0000"
"11","7.248477","","","Inverse ARP","34","0000 is at 10.0.0.2"
"12","7.252458","","","Inverse ARP","34","0000 is at 10.0.0.3"
"13","7.260420","","","Inverse ARP","34","0000 is at 10.0.0.4"
"14","17.140973","","","Q.933","14","STATUS ENQUIRY"
"15","17.141033","","","Q.933","14","STATUS"
"16","27.133544","","","Q.933","14","STATUS ENQUIRY"
"17","27.133606","","","Q.933","14","STATUS"
"18","27.989629","10.0.0.2","224.0.0.5","OSPF","80","Hello Packet"
"19","30.301774","10.0.0.3","224.0.0.5","OSPF","80","Hello Packet"
"20","32.773962","10.0.0.4","224.0.0.5","OSPF","80","Hello Packet"
"21","35.154011","10.0.0.1","224.0.0.5","OSPF","92","Hello Packet"
"22","35.154051","10.0.0.1","224.0.0.5","OSPF","92","Hello Packet"
"23","35.162045","10.0.0.1","224.0.0.5","OSPF","92","Hello Packet"
"24","35.162088","10.0.0.2","10.0.0.1","OSPF","68","DB Description"
"25","35.166060","10.0.0.3","10.0.0.1","OSPF","68","DB Description"
"26","35.170031","10.0.0.1","10.0.0.2","OSPF","68","DB Description"
"27","35.170093","10.0.0.1","10.0.0.2","OSPF","148","DB Description"
"28","35.174062","10.0.0.4","10.0.0.1","OSPF","68","DB Description"
"29","35.178038","10.0.0.1","10.0.0.3","OSPF","68","DB Description"
"30","35.178055","10.0.0.2","10.0.0.1","OSPF","148","DB Description"
"31","35.178063","10.0.0.1","10.0.0.3","OSPF","148","DB Description"
"32","35.178144","10.0.0.2","10.0.0.1","OSPF","60","LS Request"
"33","35.182056","10.0.0.3","10.0.0.1","OSPF","148","DB Description"
"34","35.182074","10.0.0.3","10.0.0.1","OSPF","60","LS Request"
"35","35.186018","10.0.0.1","10.0.0.4","OSPF","68","DB Description"
"36","35.186050","10.0.0.1","10.0.0.4","OSPF","148","DB Description"
"37","35.190067","10.0.0.4","10.0.0.1","OSPF","148","DB Description"
"38","35.190106","10.0.0.4","10.0.0.1","OSPF","60","LS Request"
"39","35.194014","10.0.0.1","10.0.0.3","OSPF","68","DB Description"
"40","35.194034","10.0.0.1","10.0.0.3","OSPF","60","LS Request"
"41","35.198060","10.0.0.3","10.0.0.1","OSPF","68","DB Description"
"42","35.198112","10.0.0.3","10.0.0.1","OSPF","100","LS Update"
